mes,numero,dia_semana,dia_num,nombre_cliente,apellido_cliente,agencia,tipo_pasapalo,cantidad,costo_unitario,precio_por_pasapalo,total_a_pagar,ubicacion_agencia,mantenimiento_agencia
enero,3635,miercoles,1,Juan,Martinez,la concordia,5,22,1.23,1.96,43.12,valencia,735
febrero,9771,martes,18,Valentina,Martinez,la concordia,5,69,1.23,1.96,135.24,caracas,730
marzo,9632,sabado,8,Isabella,Soto,la concordia,2,70,0.83,3.38,236.6,cucuta,578
febrero,8472,domingo,6,Andrea,Torres,la concordia,2,100,0.83,3.38,338.0,valencia,730
enero,6843,jueves,25,Andrea,Lopez,la concordia,4,36,1.8,4.88,175.68,cucuta,735
marzo,7211,martes,19,Sofía,Torres,la concordia,2,98,0.83,3.38,331.24,caracas,578
marzo,6091,martes,23,Samantha,Jimenez,la concordia,5,49,1.23,1.96,96.04,san cristobal,578
marzo,1656,lunes,7,Andrea,Perez,la concordia,4,25,1.8,4.88,122.0,san cristobal,578
enero,8697,viernes,30,Sofía,Lopez,la concordia,3,85,1.69,4.74,402.9,caracas,735
marzo,1244,jueves,10,Valentina,Garcia,la concordia,3,17,1.69,4.74,80.58,valencia,578
enero,8326,sabado,5,Sofía,Garcia,la concordia,5,38,1.23,1.96,74.48,san cristobal,735
marzo,7211,viernes,19,Sofía,Torres,la concordia,4,8,1.8,4.88,39.04,valencia,578
febrero,7751,domingo,7,Mia,Garcia,la concordia,2,82,0.83,3.38,277.16,caracas,730
febrero,5815,domingo,11,Lucas,Soto,la concordia,5,30,1.23,1.96,58.8,caracas,730
febrero,9632,domingo,25,Isabella,Soto,la concordia,2,53,0.83,3.38,179.14,cucuta,730
enero,1589,martes,10,Andrea,Martinez,la concordia,3,23,1.69,4.74,109.02,san cristobal,735
marzo,1067,miercoles,12,Lucas,Garcia,la concordia,0,93,1.25,3.24,301.32,cucuta,578
febrero,8778,domingo,25,Samantha,Perez,la concordia,5,34,1.23,1.96,66.64,cucuta,730
enero,4053,viernes,29,Isabella,Martinez,la concordia,0,72,1.25,3.24,233.28,caracas,735
febrero,1876,sabado,18,Lucas,Lopez,la concordia,0,56,1.25,3.24,181.44,valencia,730
febrero,1879,martes,9,Pedro,Garcia,la concordia,0,95,1.25,3.24,307.8,cucuta,730
febrero,7805,miercoles,15,Valentina,Soto,la concordia,0,74,1.25,3.24,239.76,cucuta,730
marzo,2743,martes,25,Miguel,Perez,la concordia,5,22,1.23,1.96,43.12,valencia,578
marzo,8343,domingo,26,Lucas,Rodriguez,la concordia,0,81,1.25,3.24,262.44,san cristobal,578
enero,8980,sabado,21,Valentina,Lopez,la concordia,2,9,0.83,3.38,30.42,caracas,735
enero,8697,lunes,14,Sofía,Lopez,la concordia,4,69,1.8,4.88,336.72,san cristobal,735
febrero,9184,jueves,11,Isabella,Torres,la concordia,1,34,0.87,4.34,147.56,valencia,730
marzo,5774,martes,21,Mia,Rodriguez,la concordia,7,36,0.52,4.78,172.08,valencia,578
marzo,6790,martes,3,Sofía,Jimenez,la concordia,2,30,0.83,3.38,101.4,cucuta,578
enero,1928,sabado,11,Lucas,Gonzalez,la concordia,7,93,0.52,4.78,444.54,san cristobal,735
marzo,8980,miercoles,2,Valentina,Lopez,la concordia,5,33,1.23,1.96,64.68,caracas,578
enero,8247,lunes,5,Sofía,Gonzalez,la concordia,6,81,0.65,4.25,344.25,cucuta,735
marzo,4309,jueves,6,Valentina,Torres,la concordia,0,38,1.25,3.24,123.12,cucuta,578
enero,7167,lunes,29,Isabella,Gonzalez,la concordia,2,81,0.83,3.38,273.78,cucuta,735
enero,8376,jueves,1,Samantha,Gonzalez,la concordia,3,97,1.69,4.74,459.78,san cristobal,735
febrero,4712,sabado,17,Pedro,Gonzalez,la concordia,5,67,1.23,1.96,131.32,cucuta,730
febrero,8343,sabado,6,Lucas,Rodriguez,la concordia,4,24,1.8,4.88,117.12,caracas,730
enero,1879,miercoles,9,Pedro,Garcia,la concordia,5,37,1.23,1.96,72.52,san cristobal,735
enero,2650,jueves,21,Andrea,Jimenez,la concordia,6,21,0.65,4.25,89.25,san cristobal,735
marzo,7328,sabado,22,Juan,Soto,la concordia,4,42,1.8,4.88,204.96,caracas,578
febrero,8718,viernes,16,Pedro,Jimenez,la concordia,6,13,0.65,4.25,55.25,san cristobal,730
marzo,8718,sabado,22,Pedro,Jimenez,la concordia,5,61,1.23,1.96,119.56,caracas,578
marzo,8452,viernes,14,Mia,Torres,la concordia,5,85,1.23,1.96,166.6,valencia,578
marzo,8023,domingo,16,Valentina,Sanchez,la concordia,5,14,1.23,1.96,27.44,cucuta,578
febrero,4521,miercoles,23,Isabella,Sanchez,la concordia,6,42,0.65,4.25,178.5,cucuta,730
febrero,4053,martes,26,Isabella,Martinez,la concordia,7,95,0.52,4.78,454.1,valencia,730
enero,4712,lunes,5,Pedro,Gonzalez,la concordia,0,18,1.25,3.24,58.32,valencia,735
febrero,8182,martes,9,Juan,Torres,la concordia,6,12,0.65,4.25,51.0,valencia,730
